\begin{appendices}
\chapter{Charity data $N=328$}

\begin{longtable}{cccc} 
\hline
gaveamt	&	hhincome	&	female	&	age	\\
\hline
\endhead
629	&	37.5	&	1	&	92	\\
50	&	80	&	1	&	41	\\
629	&	37.5	&	0	&	82	\\
100	&	45	&	0	&	69	\\
470	&	45	&	0	&	46	\\
100	&	92.5	&	1	&	23	\\
3000	&	92.5	&	0	&	52	\\
3597	&	45	&	1	&	67	\\
13600	&	92.5	&	0	&	62	\\
225	&	80	&	0	&	79	\\
25	&	22.5	&	0	&	53	\\
550	&	55	&	0	&	78	\\
1300	&	32.5	&	0	&	65	\\
50	&	55	&	1	&	42	\\
200	&	22.5	&	1	&	58	\\
200	&	22.5	&	1	&	75	\\
100	&	67.5	&	1	&	27	\\
360	&	80	&	1	&	56	\\
290	&	45	&	1	&	45	\\
5000	&	67.5	&	1	&	57	\\
605	&	92.5	&	1	&	65	\\
300	&	92.5	&	1	&	63	\\
500	&	80	&	1	&	38	\\
500	&	80	&	0	&	40	\\
375	&	92.5	&	1	&	52	\\
530	&	45	&	1	&	57	\\
75	&	45	&	1	&	51	\\
150	&	80	&	1	&	83	\\
250	&	80	&	1	&	57	\\
2350	&	37.5	&	0	&	82	\\
825	&	55	&	1	&	58	\\
295	&	67.5	&	0	&	71	\\
13455	&	92.5	&	0	&	76	\\
2850	&	55	&	0	&	57	\\
5550	&	67.5	&	1	&	39	\\
210	&	55	&	1	&	49	\\
7044	&	67.5	&	1	&	36	\\
85	&	67.5	&	0	&	83	\\
700	&	80	&	1	&	57	\\
115	&	27.5	&	1	&	67	\\
110	&	37.5	&	1	&	62	\\
1100	&	67.5	&	0	&	66	\\
2700	&	67.5	&	1	&	55	\\
620	&	45	&	0	&	40	\\
3075	&	67.5	&	1	&	69	\\
1695	&	92.5	&	1	&	75	\\
850	&	22.5	&	1	&	78	\\
550	&	80	&	1	&	73	\\
5000	&	67.5	&	1	&	57	\\
200	&	55	&	1	&	72	\\
6262	&	80	&	1	&	74	\\
310	&	22.5	&	1	&	65	\\
2150	&	55	&	0	&	83	\\
100	&	22.5	&	1	&	57	\\
3250	&	55	&	1	&	34	\\
500	&	80	&	0	&	39	\\
11875	&	92.5	&	1	&	64	\\
1100	&	67.5	&	0	&	65	\\
900	&	55	&	0	&	54	\\
200	&	67.5	&	1	&	70	\\
300	&	55	&	1	&	38	\\
3922	&	32.5	&	1	&	62	\\
13500	&	67.5	&	1	&	60	\\
145	&	55	&	1	&	76	\\
80	&	67.5	&	0	&	50	\\
502	&	80	&	1	&	46	\\
3600	&	55	&	1	&	49	\\
1350	&	80	&	0	&	66	\\
220	&	67.5	&	0	&	56	\\
100	&	45	&	1	&	66	\\
100	&	45	&	1	&	44	\\
1318	&	80	&	1	&	68	\\
25	&	55	&	0	&	43	\\
1415	&	67.5	&	1	&	64	\\
2000	&	67.5	&	0	&	39	\\
200	&	45	&	1	&	63	\\
750	&	80	&	1	&	21	\\
52	&	55	&	1	&	56	\\
55	&	45	&	1	&	65	\\
470	&	92.5	&	0	&	65	\\
6550	&	55	&	0	&	63	\\
425	&	67.5	&	1	&	55	\\
800	&	80	&	0	&	60	\\
200	&	80	&	0	&	56	\\
610	&	22.5	&	1	&	46	\\
700	&	67.5	&	0	&	60	\\
250	&	67.5	&	1	&	33	\\
2912	&	27.5	&	1	&	57	\\
1175	&	80	&	1	&	58	\\
115	&	45	&	0	&	69	\\
1250	&	67.5	&	0	&	75	\\
5275	&	32.5	&	0	&	57	\\
600	&	45	&	0	&	66	\\
216	&	45	&	0	&	56	\\
5200	&	67.5	&	1	&	67	\\
4700	&	92.5	&	0	&	54	\\
\hline 
\end{longtable}
\end{appendices}
